SENARYO,VERSION,TRETE,KUR,ACENTE_NO,BRANS_KODU,SEGMENT,TARIFE,YIL,TARIH,HEDEF,DATA_KAYNAK,KAYNAK_KODU,SUBE_KOD,LOB,ACENTE_ADI,TRAFIK_HAVUZ,YENI_YENILEME
,,,,8483,519,PERSONAL LINES,CF4,2024,31.03.2024,"196,19",Acente-Bireysel,9,1,Accident,,,Yeni
,,,,8483,501,MIDDLE MARKET,Y62,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,517,PERSONAL LINES,K60,2024,30.04.2024,"302821,46",Acente-Bireysel,9,1,Motor All Others,,,Yenileme
,,,,8483,520,MIDDLE MARKET,D41,2024,30.04.2024,"598,90",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,568,SMALL BUSINESS,M02,2024,30.04.2024,"399,27",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,560,SMALL BUSINESS,Y70,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Legal Expenses,,,Yeni
,,,,8483,523,SMALL BUSINESS,Y70,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,517,PERSONAL LINES,K60,2024,30.04.2024,"112191,49",Acente-Bireysel,9,1,Motor All Others,,,Yeni
,,,,8483,516,PERSONAL LINES,K60,2024,30.04.2024,"12465,72",Acente-Bireysel,9,1,Motor 3rd Party Liability,,,Yeni
,,,,8483,588,MIDDLE MARKET,F16,2024,30.04.2024,"199,63",Acente-Bireysel,9,1,Directors And Officers (incl. PTL/ EPL),,,Yeni
,,,,8483,524,MIDDLE MARKET,Y62,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,502,MIDDLE MARKET,Y62,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,521,SMALL BUSINESS,Y70,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,592,MIDDLE MARKET,D42,2024,30.04.2024,"1597,08",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,502,SMALL BUSINESS,Y70,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
